Month,Volume,TV,Digital,Other,Coverage,RetailPrice,Temp
2016/01/01,4679757.666,24727,4867,0,0.221294259,61.82205128,6.222580645
2016/02/01,5612667.002,102245,19383,11877,0.219405135,62.13282051,7.047126437
2016/03/01,7081165.605,111393,16725,11987,0.219453576,61.82076923,10.45913978
2016/04/01,8366490.37,64051,18815,0,0.217711813,61.52461538,15.96111111
2016/05/01,12395683.33,134791,26876,0,0.213228131,61.27641026,20.64623656
2016/06/01,14352610.02,187990,68008,35695,0.273428198,79.32589744,22.86666667
2016/07/01,21744932.38,404718,20485,0,0.281327619,79.15333333,26.8172043
2016/08/01,20909790.08,73479,19728,2182,0.267410137,79.3225641,28.39354839
2016/09/01,11225256.1,63681,45820,14437,0.247978403,76.02564103,25.13666667
2016/10/01,8007122.354,324045,80226,4982,0.256992613,76.89692308,19.57741935
2016/11/01,5482633.863,55718,28087,0,0.24106481,76.93128205,12.44333333
2016/12/01,5624173.387,0,31849,25446,0.240574399,76.29794872,8.792473118
2017/01/01,4991677.688,0,0,0,0.236264774,76.32051282,5.596774194
2017/02/01,4979729.322,0,0,0,0.227751251,76.81666667,6.11547619
2017/03/01,6151415.483,0,0,0,0.224958523,75.87794872,8.713978495
2017/04/01,7708950.924,202673,42630,37264,0.224667377,75.97051282,15.02888889
2017/05/01,12611626.81,245740,28016,11956,0.262647723,94.07589744,20.52365591
2017/06/01,13782916.86,145181,14315,1129,0.248809305,111.2702564,22.38222222
2017/07/01,23000369.34,93257,13700,9000,0.2701066,110.4712821,28.07204301
2017/08/01,17863607.19,189062,28590,12071,0.252037674,111.325641,27.93225806
2017/09/01,9749848.609,12566,5525,0,0.237639987,102.6525641,23.61111111
2017/10/01,6609750.502,155965,43984,2050,0.258746974,100.0276923,17.71935484
2017/11/01,4978099.948,78036,34381,28623,0.239432567,96.88,11.99444444
2017/12/01,5123827.746,228341,0,11014,0.227151795,92.59307692,6.434408602
2018/01/01,5211967.68,0,0,0,0.225693114,95.50717949,4.510752688
2018/02/01,4977729.363,0,10274,0,0.219546137,93.12128205,5.128571429
2018/03/01,6372003.855,0,4791,3800,0.216355507,86.66538462,11.37956989
2018/04/01,8306941.574,246080,50404,26762,0.240424968,110.9684615,16.80333333
2018/05/01,11006342.87,181921,23449,1800,0.254388348,104.3264103,19.88172043
